topic,month_start,negative,neutral,positive,total_count,positive_ratio,negative_ratio,neutral_ratio,sentiment_score,score_diff,negative_ratio_diff,rolling_score_mean,rolling_volume_mean,rolling_score_diff,is_drift,drift_type
arsenal,2026-04-01,340,211,151,702,0.215099715,0.484330484,0.300569801,-0.269230769,0.261072261,-0.116679617,,,,TRUE,score_drift
arsenal,2026-05-01,70,152,609,831,0.732851986,0.08423586,0.182912154,0.648616125,0.917846894,-0.400094624,-0.3997669,450,1.048383025,TRUE,"score_drift, rolling_baseline_drift, volume_spike"
iphone17series,2026-03-01,39,49,24,112,0.214285714,0.348214286,0.4375,-0.133928571,-0.036367596,0.006750871,0.005839463,39.66666667,-0.139768035,TRUE,volume_spike
iphone17series,2026-04-01,33,55,39,127,0.307086614,0.25984252,0.433070866,0.047244094,0.181172666,-0.088371766,-0.030866886,63,0.078110981,TRUE,volume_spike
iphone17series,2026-05-01,12,21,23,56,0.410714286,0.214285714,0.375,0.196428571,0.149184477,-0.045556805,-0.061415151,93.33333333,0.257843722,TRUE,rolling_baseline_drift
ronaldo,2026-05-01,211,146,91,448,0.203125,0.470982143,0.325892857,-0.267857143,-1.267857143,0.470982143,0.888888889,3,-1.156746032,TRUE,"score_drift, negative_burst, rolling_baseline_drift, volume_spike"
s25series,2025-07-01,18,54,36,108,0.333333333,0.166666667,0.5,0.166666667,-0.388888889,0.055555556,0.035185185,11.66666667,0.131481481,TRUE,"score_drift, volume_spike"
s25series,2025-08-01,13,21,6,40,0.15,0.325,0.525,-0.175,-0.341666667,0.158333333,0.257407407,45.66666667,-0.432407407,TRUE,"score_drift, rolling_baseline_drift"
s25series,2025-09-01,42,87,31,160,0.19375,0.2625,0.54375,-0.06875,0.10625,-0.0625,0.182407407,52.33333333,-0.251157407,TRUE,"rolling_baseline_drift, volume_spike"
s25series,2025-11-01,117,167,75,359,0.208913649,0.325905292,0.465181058,-0.116991643,-0.256697526,0.12002294,-0.034681373,112,-0.082310271,TRUE,"score_drift, volume_spike"
vinfast_vf3,2024-08-01,104,187,91,382,0.238219895,0.272251309,0.489528796,-0.034031414,-0.20069808,0.105584642,-0.094087666,116,0.060056252,TRUE,volume_spike
vinfast_vf3,2025-01-01,23,38,7,68,0.102941176,0.338235294,0.558823529,-0.235294118,-0.568627451,0.004901961,0.555555556,2.666666667,-0.790849673,TRUE,"score_drift, rolling_baseline_drift, volume_spike"
vinfast_vf3,2025-06-01,87,129,73,289,0.252595156,0.301038062,0.446366782,-0.048442907,0.094414236,0.015323777,-0.080262726,20.33333333,0.031819819,TRUE,volume_spike
vinfast_vf3,2025-07-01,87,49,21,157,0.133757962,0.554140127,0.312101911,-0.420382166,-0.371939259,0.253102065,-0.05043335,107,-0.369948816,TRUE,"score_drift, negative_burst, rolling_baseline_drift"
vinfast_vf3,2025-08-01,16,20,11,47,0.234042553,0.340425532,0.425531915,-0.106382979,0.313999187,-0.213714595,-0.203894072,151,0.097511093,TRUE,score_drift
vinfast_vf3,2025-09-01,44,80,47,171,0.274853801,0.257309942,0.467836257,0.01754386,0.123926838,-0.08311559,-0.191736017,164.3333333,0.209279877,TRUE,rolling_baseline_drift
vinfast_vf3,2025-12-01,100,113,45,258,0.174418605,0.387596899,0.437984496,-0.213178295,-0.213178295,0.073311185,-0.021033767,89.33333333,-0.192144527,TRUE,volume_spike
vinfast_vf3,2026-01-01,12,26,15,53,0.283018868,0.226415094,0.490566038,0.056603774,0.269782068,-0.161181805,-0.097941152,118.3333333,0.154544926,TRUE,score_drift
vinfast_vf3,2026-04-01,20,41,13,74,0.175675676,0.27027027,0.554054054,-0.094594595,0.038738739,-0.046396396,-0.02557652,43.33333333,-0.069018075,TRUE,volume_spike
